date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:02:33	137547/137547	---M--	200	added ('OK')	image/png	date:Fri,%2023%20Apr%202021%2022:39:03%20GMT	https://zcube.in/xadvices/img/bg/team-bg.png	/Users/abdulrahman/Downloads/advices/zcube.in/xadvices/img/bg/team-bg.png	(from https://zcube.in/xadvices/?storefront=envato-elements)
22:02:33	1136215/1136215	---M--	200	added ('OK')	image/png	date:Fri,%2023%20Apr%202021%2022:39:05%20GMT	https://zcube.in/xadvices/img/bg/features-lg-img.png	/Users/abdulrahman/Downloads/advices/zcube.in/xadvices/img/bg/features-lg-img.png	(from https://zcube.in/xadvices/?storefront=envato-elements)
22:02:34	21864/21864	---M-Z	200	added ('OK')	text/html	date:Sat,%2024%20Apr%202021%2011:38:19%20GMT	https://zcube.in/xadvices/team-details.html	/Users/abdulrahman/Downloads/advices/zcube.in/xadvices/team-details.html	(from https://zcube.in/xadvices/?storefront=envato-elements)
22:02:35	222316/222316	---M--	200	added ('OK')	image/png	date:Fri,%2023%20Apr%202021%2022:41:44%20GMT	https://zcube.in/xadvices/img/team/team_img01.png	/Users/abdulrahman/Downloads/advices/zcube.in/xadvices/img/team/team_img01.png	(from https://zcube.in/xadvices/?storefront=envato-elements)
22:02:37	346818/346818	---M--	200	added ('OK')	image/png	date:Fri,%2023%20Apr%202021%2022:41:50%20GMT	https://zcube.in/xadvices/img/team/team_img02.png	/Users/abdulrahman/Downloads/advices/zcube.in/xadvices/img/team/team_img02.png	(from https://zcube.in/xadvices/?storefront=envato-elements)
22:02:37	372122/372122	---M--	200	added ('OK')	image/png	date:Fri,%2023%20Apr%202021%2022:41:55%20GMT	https://zcube.in/xadvices/img/team/team_img03.png	/Users/abdulrahman/Downloads/advices/zcube.in/xadvices/img/team/team_img03.png	(from https://zcube.in/xadvices/?storefront=envato-elements)
22:02:38	7397/7397	---M--	200	added ('OK')	image/png	date:Fri,%2023%20Apr%202021%2022:42:12%20GMT	https://zcube.in/xadvices/img/testimonial/testi_avatar.png	/Users/abdulrahman/Downloads/advices/zcube.in/xadvices/img/testimonial/testi_avatar.png	(from https://zcube.in/xadvices/?storefront=envato-elements)
22:02:38	654/654	---M--	200	added ('OK')	image/png	date:Fri,%2023%20Apr%202021%2022:42:11%20GMT	https://zcube.in/xadvices/img/testimonial/qt-icon.png	/Users/abdulrahman/Downloads/advices/zcube.in/xadvices/img/testimonial/qt-icon.png	(from https://zcube.in/xadvices/?storefront=envato-elements)
22:02:40	76030/76030	---M--	200	added ('OK')	image/png	date:Fri,%2023%20Apr%202021%2022:39:00%20GMT	https://zcube.in/xadvices/img/bg/p-shape02.png	/Users/abdulrahman/Downloads/advices/zcube.in/xadvices/img/bg/p-shape02.png	(from https://zcube.in/xadvices/?storefront=envato-elements)
22:02:41	87914/87914	---M--	200	added ('OK')	image/png	date:Fri,%2023%20Apr%202021%2022:38:57%20GMT	https://zcube.in/xadvices/img/bg/p-shape.png	/Users/abdulrahman/Downloads/advices/zcube.in/xadvices/img/bg/p-shape.png	(from https://zcube.in/xadvices/?storefront=envato-elements)
22:02:41	3489/3489	---M--	200	added ('OK')	image/png	date:Fri,%2023%20Apr%202021%2022:39:37%20GMT	https://zcube.in/xadvices/img/brand/client_icon_1.png	/Users/abdulrahman/Downloads/advices/zcube.in/xadvices/img/brand/client_icon_1.png	(from https://zcube.in/xadvices/?storefront=envato-elements)
